key,road_class,n_roads,max_lanes,maxspeed
37.57135,127.0091,primary,21,6,60
37.57017,126.98375,primary,20,4,60
37.57022,126.99779,primary,18,4,60
37.56385,126.97784,primary,25,8,60
37.55705,126.97266,primary,34,5,
37.56091,126.98171,primary,25,11,50
37.53461,126.99563,secondary,19,,
37.53324,127.00738,primary,23,2,
37.5224,126.96186,trunk,21,6,80
37.56154,127.03513,primary,36,,10
37.5511,127.04421,trunk,27,6,80
37.5585,127.03405,primary,13,,50
37.53992,127.07067,trunk,23,5,50
37.53714,127.08347,primary,36,8,50
37.55355,127.08848,primary,14,5,
37.58085,127.04512,primary,29,6,60
37.57361,127.03819,primary,19,7,60
37.57818,127.03837,primary,22,4,60
37.59988,127.10049,primary,34,5,
37.59781,127.09393,primary,33,,50
37.58839,127.08764,secondary,17,,
37.60403,127.02619,trunk,34,6,70
37.60338,127.03225,trunk,29,8,70
37.59336,127.0164,primary,29,6,
37.63798,127.02565,primary,22,3,
37.63528,127.02327,primary,32,6,
37.61645,127.02991,primary,19,3,
37.65271,127.05247,trunk,12,6,80
37.65067,127.03603,primary,23,8,
37.66282,127.04251,primary,15,6,
37.6548,127.06059,primary,20,8,50
37.61715,127.07421,trunk,12,4,70
37.61926,127.07832,primary,14,4,60
37.61842,126.9201,primary,28,6,50
37.58973,126.91724,secondary,25,,
37.61096,126.92959,primary,19,3,50
37.58142,126.93617,trunk,28,3,70
37.59149,126.94148,trunk,25,8,70
37.56534,126.96623,primary,29,8,60
37.54923,126.91346,primary,20,6,30
37.54041,126.94707,primary,16,5,
37.54394,126.95103,primary,41,5,
37.53589,126.82838,primary,19,4,
37.5297,126.83255,primary,25,4,
37.52617,126.86438,secondary,17,10,
37.55312,126.85081,primary,14,7,30
37.53061,126.84746,secondary,16,6,
37.55546,126.85354,primary,24,6,60
37.49306,126.85609,primary,15,3,
37.49527,126.88889,secondary,15,,
37.49888,126.87183,trunk,15,2,80
37.45477,126.90058,primary,31,6,60
37.47144,126.89823,primary,17,4,50
37.4383,126.90315,trunk,41,5,80
37.51914,126.91255,primary,35,8,
37.51641,126.90668,primary,14,,50
37.53596,126.89784,primary,23,,
37.49856,126.92816,secondary,21,,
37.50319,126.94772,primary,27,6,
37.49925,126.93122,primary,25,,
37.48427,126.92975,primary,28,6,60
37.48127,126.95278,primary,21,8,60
37.48757,126.92882,secondary,11,,60
37.46068,127.03603,trunk,11,3,50
