key,sido_cd,road_class,n_roads,max_lanes,maxspeed
37.62835,126.84784,11,unclassified,4,,
37.62703,126.87942,11,unclassified,8,,
37.59636,126.88378,11,residential,1,,
37.59786,126.8683,11,tertiary,6,1,50
37.65293,126.8354,11,tertiary,23,1,30
37.6272,126.84757,11,unclassified,3,,
37.44564,127.07887,11,service,6,,
37.62977,126.84572,11,unclassified,2,,
37.66322,126.82924,11,trunk,10,2,80
37.60885,126.86773,11,unclassified,3,,
37.62877,126.84441,11,unclassified,1,,
37.65485,127.12675,11,tertiary,7,4,60
37.63676,126.84374,11,unclassified,1,,
37.63718,126.88961,11,service,11,,
37.64496,126.85867,11,primary,4,2,60
37.638,126.87043,11,primary,12,3,70
37.60487,126.86891,11,primary,12,3,60
37.65916,127.13625,11,service,1,,
37.44802,127.08479,11,service,1,,
37.65213,127.1082,11,service,5,,
37.45886,127.08713,11,residential,4,,
37.66388,126.9495,11,residential,7,,
37.61205,126.87753,11,service,11,,
37.65158,126.87871,11,primary,10,3,60
37.65712,126.94069,11,secondary,7,4,50
37.65688,126.85436,11,service,9,,
37.44856,127.0978,11,residential,2,,
37.62556,126.88845,11,unclassified,3,,
37.64713,127.1299,11,tertiary,6,3,
37.65004,126.84226,11,residential,1,,
37.64516,126.83575,11,tertiary,15,2,30
37.6145,126.86219,11,unclassified,2,,
37.45259,127.08818,11,service,2,,
37.65173,127.12364,11,motorway,6,4,100
37.66035,126.83065,11,trunk,9,2,80
37.59744,126.86884,11,residential,1,,
37.63316,126.87522,11,primary,8,4,60
37.65793,126.95046,11,residential,5,,
37.61811,126.84539,11,primary,14,3,60
37.66675,127.12423,11,residential,8,,
37.62367,126.87098,11,primary,1,2,60
37.61148,126.84285,11,service,2,,
37.6557,126.89293,11,residential,6,,
37.66365,127.10897,11,residential,13,,
37.65262,126.83421,11,tertiary,18,1,30
37.63622,127.12697,11,motorway,6,3,60
37.61021,126.87848,11,service,10,,
37.64192,126.8524,11,unclassified,1,,
37.61035,126.97113,11,residential,10,,
37.66298,126.94811,11,residential,2,,
37.64776,126.93838,11,secondary,9,4,50
37.60983,126.86926,11,secondary,2,2,60
37.59039,126.87527,11,trunk,5,3,60
37.58986,126.84802,11,service,7,,
37.61946,126.83504,11,primary,13,3,60
37.59842,126.8462,11,unclassified,4,,
37.63344,126.87495,11,primary,12,4,60
37.6541,126.90176,11,primary,10,3,60
37.6497,127.10763,11,residential,5,,
37.65468,126.87526,11,tertiary,7,1,30
37.61807,126.9966,11,residential,9,1,
37.63356,126.85116,11,unclassified,2,,
37.6367,126.86164,11,unclassified,1,,
37.61688,126.83386,11,primary,11,3,60
37.61273,126.9727,11,residential,11,,
37.65682,127.10523,11,residential,2,,
37.58927,126.87967,11,secondary,8,2,50
37.6606,126.90169,11,tertiary,5,1,50
37.61335,126.83193,11,secondary,21,3,50
37.65622,127.10088,11,residential,3,,
37.66019,126.86128,11,tertiary,1,,
37.63352,126.8508,11,motorway,9,3,100
37.60558,126.84633,11,motorway,4,2,100
37.63948,126.8777,11,unclassified,1,,
37.60181,126.8544,11,unclassified,2,,
37.59243,126.87825,11,service,1,,
37.57246,127.11778,11,unclassified,3,,
37.59119,126.88087,11,primary,6,4,60
37.65321,126.87589,11,residential,7,,
37.65647,126.85188,11,motorway,1,3,100
37.45158,127.07123,11,service,6,,
37.6217,126.83616,11,primary,16,3,60
37.64755,126.87751,11,secondary,9,2,50
37.59304,126.86822,11,trunk,8,3,80
37.63504,126.86649,11,trunk,10,3,70
37.62321,126.88817,11,tertiary,4,1,40
37.44755,127.08117,11,service,5,,
37.64752,126.83078,11,primary,7,3,60
37.62736,126.85892,11,trunk,12,3,70
37.58652,126.87481,11,residential,9,,
37.6612,126.93887,11,unclassified,1,,
37.59614,126.86742,11,tertiary,7,1,50
37.65417,126.90122,11,primary,9,3,60
37.59877,126.84535,11,unclassified,4,,
37.62585,126.84162,11,secondary,10,2,50
37.63757,126.86939,11,primary,11,3,70
37.64672,126.83865,11,primary,8,3,60
37.43937,127.09053,11,motorway,4,2,100
37.65462,126.85501,11,service,7,,
37.59853,126.86847,11,tertiary,8,1,50
37.65378,127.11432,11,tertiary,12,6,
37.60617,126.85102,11,motorway,1,2,80
37.45109,127.07499,11,unclassified,3,,
37.66117,126.8378,11,secondary,13,2,50
37.6539,127.12898,11,tertiary,11,4,60
37.64301,126.85976,11,primary,2,2,60
37.61091,126.86895,11,unclassified,1,,
37.59816,126.83332,11,unclassified,1,,
37.65604,126.94703,11,residential,19,,
37.6189,126.87031,11,unclassified,5,,
37.63283,126.86228,11,unclassified,2,,
37.61872,126.8763,11,secondary,10,2,60
37.64865,126.87934,11,service,16,,
37.45162,127.08179,11,tertiary,6,,
37.66316,126.92315,11,unclassified,1,,
37.65462,126.84507,11,unclassified,5,,
37.66241,127.1118,11,residential,1,,
37.4517,127.09491,11,motorway,3,2,100
